InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C538004,ST98696,HOME BUILDING BLOCK WORD,3,02/27/2023 00:00,40.73,10655,United Kingdom
C542062,ST40495,AIRLINE BAG VINTAGE WORLD CHAMPION,1,10/07/2023 00:00,5.92,10759,Switzerland
C538104,ST64987,VINTAGE PAISLEY STATIONERY SET,11,11/05/2023 00:00,38.83,10518,Germany
C574983,ST30926,HOME BUILDING BLOCK WORD,20,08/18/2023 00:00,41.94,10226,United Kingdom
C558663,ST59797,HOME BUILDING BLOCK WORD,6,08/05/2023 00:00,6.38,10715,United Kingdom
C558906,ST80284,AIRLINE BAG VINTAGE JET SET,1,07/03/2023 00:00,40.36,10100,United Kingdom
C541529,ST57400,VINTAGE PAISLEY STATIONERY SET,11,07/13/2023 00:00,34.34,10128,United Kingdom
C540923,ST40512,CREAM CUPID HEARTS COAT HANGER,5,04/09/2023 00:00,54.2,10592,EIRE
C561276,ST56566,HOME BUILDING BLOCK WORD,6,02/21/2023 00:00,9.66,10888,United Kingdom
C553861,ST42087,RED WOOLLY HOTTIE WHITE HEART,3,12/10/2023 00:00,29.77,10215,Germany
C561232,ST52504,HOME BUILDING BLOCK WORD,91,08/25/2023 00:00,12.74,10168,United Kingdom
C551375,ST37653,CREAM CUPID HEARTS COAT HANGER,71,01/29/2023 00:00,15.35,10864,Portugal
C556987,ST94259,IVORY KNITTED MUG COZY,7,10/18/2023 00:00,48.76,10936,EIRE
C553724,ST86622,HAND WARMER RED POLKA DOT,9,03/15/2023 00:00,30.04,10470,United Kingdom
C562540,ST21915,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,3,10/26/2023 00:00,28.44,10439,United Kingdom
C543550,ST18326,ASSORTED COLOUR BIRD ORNAMENT,11,01/25/2023 00:00,23.71,10774,United Kingdom
C575417,ST11504,LUNCH BAG PINK POLKADOT,9,07/15/2023 00:00,47.46,10395,United Kingdom
C581041,ST48469,GLASS HANGING T-LIGHT HOLDER,11,02/28/2023 00:00,19.27,10697,United Kingdom
C566100,ST33416,WHITE HANGING HEART T-LIGHT HOLDER,53,03/22/2023 00:00,53.48,10446,United Kingdom
C577344,ST30032,RECIPE BOX WITH METAL HEART,84,02/24/2023 00:00,33.83,10520,United Kingdom
C571713,ST12552,MASON JAR CANDLE HOLDER,96,03/24/2023 00:00,18.4,10383,United Kingdom
C556518,ST21226,BOX OF VINTAGE JIGSAW BLOCKS,10,07/05/2023 00:00,52.13,10115,United Kingdom
C540900,ST82063,GLASS HANGING T-LIGHT HOLDER,3,09/06/2023 00:00,36.58,10750,United Kingdom
C570946,ST36365,AIRLINE BAG VINTAGE JET SET,4,05/16/2023 00:00,51.15,10170,United Kingdom
C562513,ST42493,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,9,06/09/2023 00:00,25.3,10731,United Kingdom
C558521,ST10942,WHITE METAL LANTERN,4,02/02/2023 00:00,32.71,10231,France
C577724,ST19287,KNITTED UNION FLAG HOT WATER BOTTLE,1,12/29/2023 00:00,47.4,10073,United Kingdom
C554615,ST84847,SET OF 3 CAKE TINS PANTRY DESIGN,3,05/02/2023 00:00,40.02,10527,United Kingdom
C552290,ST96374,LUNCH BAG SUKI DESIGN,44,08/31/2023 00:00,5.96,10591,United Kingdom
C564124,ST95649,LARGE POPCORN HOLDER,12,07/01/2023 00:00,3.78,10442,United Kingdom
C540337,ST34931,SMALL POPCORN HOLDER,2,02/20/2023 00:00,14.31,10662,United Kingdom
C545551,ST19880,PARTY BUNTING,8,08/18/2023 00:00,14.38,10550,United Kingdom
C542781,ST22224,KNITTED UNION FLAG HOT WATER BOTTLE,9,10/09/2023 00:00,46.12,10454,United Kingdom
C547264,ST17685,LARGE POPCORN HOLDER,4,05/02/2023 00:00,47.67,10949,Switzerland
C536506,ST82845,WHITE BUTTERFLY T-LIGHT HOLDER,8,07/14/2023 00:00,16.3,10169,Portugal
C546509,ST81066,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,09/07/2023 00:00,32.21,10678,France
C540111,ST79615,KNITTED UNION FLAG HOT WATER BOTTLE,9,06/10/2023 00:00,50.63,10063,United Kingdom
C569646,ST98501,SET 7 BABUSHKA NESTING BOXES,28,01/30/2023 00:00,33.07,10162,United Kingdom
C562826,ST87924,HAND WARMER UNION JACK,92,05/01/2023 00:00,14.18,10883,United Kingdom
C541737,ST44179,LARGE POPCORN HOLDER,10,11/14/2023 00:00,29.16,10041,United Kingdom
C556955,ST49321,BOX OF VINTAGE JIGSAW BLOCKS,3,12/09/2023 00:00,37.22,10210,United Kingdom
C541119,ST19602,WHITE HANGING HEART T-LIGHT HOLDER,10,06/11/2023 00:00,54.79,10469,United Kingdom
C569518,ST42018,BOX OF VINTAGE ALPHABET BLOCKS,6,04/20/2023 00:00,48.55,10551,United Kingdom
C546703,ST95717,LUNCH BAG RED RETROSPOT,58,05/26/2023 00:00,33.97,10379,Netherlands
C580134,ST27601,VINTAGE PAISLEY STATIONERY SET,11,01/05/2023 00:00,6.46,10542,United Kingdom
C543379,ST54942,VINTAGE PAISLEY STATIONERY SET,5,03/01/2023 00:00,33.6,10271,United Kingdom
C577930,ST16658,BOX OF VINTAGE ALPHABET BLOCKS,5,12/18/2023 00:00,49.87,10209,United Kingdom
C564124,ST93507,HOME BUILDING BLOCK WORD,6,11/21/2023 00:00,42.61,10095,United Kingdom
C565321,ST19862,VINTAGE PAISLEY STATIONERY SET,9,03/24/2023 00:00,1.37,10269,United Kingdom
C546133,ST29410,GLASS HANGING T-LIGHT HOLDER,6,12/20/2023 00:00,32.39,10968,United Kingdom
C539106,ST37535,RECIPE BOX WITH METAL HEART,1,03/07/2023 00:00,49.53,10441,Portugal
C580073,ST63264,GLASS STAR FROSTED T-LIGHT HOLDER,9,05/08/2023 00:00,48.73,10699,Germany
C546493,ST13248,BOX OF VINTAGE JIGSAW BLOCKS,42,11/14/2023 00:00,48.58,10998,Belgium
C563347,ST15075,BOX OF VINTAGE JIGSAW BLOCKS,12,06/20/2023 00:00,6.7,10184,Spain
C550942,ST39831,FELTCRAFT PRINCESS CHARLOTTE DOLL,78,08/29/2023 00:00,19.78,10880,United Kingdom
C579620,ST46585,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,01/13/2023 00:00,47.65,10229,Belgium
C569749,ST13617,SMALL POPCORN HOLDER,9,11/25/2023 00:00,18.78,10360,United Kingdom
C548067,ST88193,AIRLINE BAG VINTAGE WORLD CHAMPION,53,05/14/2023 00:00,2.92,10119,United Kingdom
C556922,ST85574,PARTY BUNTING,9,06/26/2023 00:00,7.11,10445,United Kingdom
C539273,ST97900,PARTY BUNTING,9,05/11/2023 00:00,38.04,10195,United Kingdom
C564630,ST96951,RED WOOLLY HOTTIE WHITE HEART,62,07/06/2023 00:00,34.59,10202,United Kingdom
C556046,ST48752,SET OF 4 PANTRY JELLY MOULDS,7,03/05/2023 00:00,18.51,10869,United Kingdom
C548937,ST32810,LARGE POPCORN HOLDER,7,03/07/2023 00:00,37.53,10568,France
C556088,ST37549,SMALL POPCORN HOLDER,1,10/19/2023 00:00,17.3,10631,United Kingdom
C576123,ST77000,CHOCOLATE HOT WATER BOTTLE,8,10/24/2023 00:00,37.44,10441,United Kingdom
C579543,ST53933,SET 7 BABUSHKA NESTING BOXES,11,03/28/2023 00:00,35.12,10485,United Kingdom
C580457,ST16057,RECIPE BOX WITH METAL HEART,4,05/01/2023 00:00,8.83,10096,United Kingdom
C576425,ST60328,RED WOOLLY HOTTIE WHITE HEART,11,09/01/2023 00:00,32.02,10251,France
C552354,ST23970,ASSORTED COLOUR BIRD ORNAMENT,1,07/24/2023 00:00,49.19,10507,United Kingdom
C550706,ST83060,POPPY'S PLAYHOUSE BEDROOM,86,08/06/2023 00:00,26.01,10798,Norway
C566279,ST88047,HAND WARMER RED POLKA DOT,87,03/04/2023 00:00,54.34,10256,Germany
C576515,ST30861,SET OF 4 PANTRY JELLY MOULDS,9,08/15/2023 00:00,25.0,10325,United Kingdom
C565860,ST78327,BOX OF VINTAGE ALPHABET BLOCKS,11,09/01/2023 00:00,15.87,10762,United Kingdom
C552044,ST45614,HOME BUILDING BLOCK WORD,12,11/17/2023 00:00,16.32,10497,France
C571764,ST30028,SET 7 BABUSHKA NESTING BOXES,4,06/13/2023 00:00,21.59,10344,Germany
C540574,ST18161,LARGE POPCORN HOLDER,9,04/20/2023 00:00,26.08,10724,Germany
C561889,ST85456,AIRLINE BAG VINTAGE WORLD CHAMPION,22,08/04/2023 00:00,47.24,10212,Germany
C536751,ST64921,BLUE CHERRY LIGHTS,7,09/02/2023 00:00,47.06,10390,United Kingdom
C575899,ST13804,BOX OF 6 ASSORTED COLOUR TEASPOONS,5,10/07/2023 00:00,24.45,10552,United Kingdom
C580200,ST91560,SMALL POPCORN HOLDER,8,06/22/2023 00:00,50.64,10399,United Kingdom
C562187,ST66179,AIRLINE BAG VINTAGE WORLD CHAMPION,1,01/14/2023 00:00,5.4,10547,EIRE
C548274,ST52840,KNITTED UNION FLAG HOT WATER BOTTLE,6,08/25/2023 00:00,12.31,10139,United Kingdom
C554600,ST80702,LARGE POPCORN HOLDER,2,07/14/2023 00:00,26.32,10346,United Kingdom
C551059,ST14067,RED WOOLLY HOTTIE WHITE HEART,11,06/29/2023 00:00,3.03,10054,United Kingdom
C549430,ST97747,WHITE METAL LANTERN,4,05/07/2023 00:00,7.68,10973,United Kingdom
C550649,ST89593,LUNCH BAG PINK POLKADOT,6,10/16/2023 00:00,9.94,10118,United Kingdom
