InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
C538004,ST98696,HOME BUILDING BLOCK WORD,3,2023-02-27,40.73,10655,United Kingdom,122.19
C542062,ST40495,AIRLINE BAG VINTAGE WORLD CHAMPION,1,2023-10-07,5.92,10759,Switzerland,5.92
C538104,ST64987,VINTAGE PAISLEY STATIONERY SET,11,2023-11-05,38.83,10518,Germany,427.13
C574983,ST30926,HOME BUILDING BLOCK WORD,20,2023-08-18,41.94,10226,United Kingdom,838.8
C558663,ST59797,HOME BUILDING BLOCK WORD,6,2023-08-05,6.38,10715,United Kingdom,38.28
C558906,ST80284,AIRLINE BAG VINTAGE JET SET,1,2023-07-03,40.36,10100,United Kingdom,40.36
C541529,ST57400,VINTAGE PAISLEY STATIONERY SET,11,2023-07-13,34.34,10128,United Kingdom,377.74
C540923,ST40512,CREAM CUPID HEARTS COAT HANGER,5,2023-04-09,54.2,10592,EIRE,271.0
C561276,ST56566,HOME BUILDING BLOCK WORD,6,2023-02-21,9.66,10888,United Kingdom,57.96
C553861,ST42087,RED WOOLLY HOTTIE WHITE HEART,3,2023-12-10,29.77,10215,Germany,89.31
C561232,ST52504,HOME BUILDING BLOCK WORD,91,2023-08-25,12.74,10168,United Kingdom,1159.34
C551375,ST37653,CREAM CUPID HEARTS COAT HANGER,71,2023-01-29,15.35,10864,Portugal,1089.85
C556987,ST94259,IVORY KNITTED MUG COZY,7,2023-10-18,48.76,10936,EIRE,341.32
C553724,ST86622,HAND WARMER RED POLKA DOT,9,2023-03-15,30.04,10470,United Kingdom,270.36
C562540,ST21915,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,3,2023-10-26,28.44,10439,United Kingdom,85.32000000000001
C543550,ST18326,ASSORTED COLOUR BIRD ORNAMENT,11,2023-01-25,23.71,10774,United Kingdom,260.81
C575417,ST11504,LUNCH BAG PINK POLKADOT,9,2023-07-15,47.46,10395,United Kingdom,427.14
C581041,ST48469,GLASS HANGING T-LIGHT HOLDER,11,2023-02-28,19.27,10697,United Kingdom,211.97
C566100,ST33416,WHITE HANGING HEART T-LIGHT HOLDER,53,2023-03-22,53.48,10446,United Kingdom,2834.44
C577344,ST30032,RECIPE BOX WITH METAL HEART,84,2023-02-24,33.83,10520,United Kingdom,2841.72
C571713,ST12552,MASON JAR CANDLE HOLDER,96,2023-03-24,18.4,10383,United Kingdom,1766.3999999999999
C556518,ST21226,BOX OF VINTAGE JIGSAW BLOCKS,10,2023-07-05,52.13,10115,United Kingdom,521.3000000000001
C540900,ST82063,GLASS HANGING T-LIGHT HOLDER,3,2023-09-06,36.58,10750,United Kingdom,109.74
