InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,TotalAmount,Year,Month,Day,DayOfWeek
C538004,ST98696,HOME BUILDING BLOCK WORD,3,2023-02-27,40.73,10655,United Kingdom,122.19,122.19,2023,2,27,Monday
C542062,ST40495,AIRLINE BAG VINTAGE WORLD CHAMPION,1,2023-10-07,5.92,10759,Switzerland,5.92,5.92,2023,10,7,Saturday
C538104,ST64987,VINTAGE PAISLEY STATIONERY SET,11,2023-11-05,38.83,10518,Germany,427.13,427.13,2023,11,5,Sunday
C574983,ST30926,HOME BUILDING BLOCK WORD,20,2023-08-18,41.94,10226,United Kingdom,838.8,838.8,2023,8,18,Friday
C558663,ST59797,HOME BUILDING BLOCK WORD,6,2023-08-05,6.38,10715,United Kingdom,38.28,38.28,2023,8,5,Saturday
C558906,ST80284,AIRLINE BAG VINTAGE JET SET,1,2023-07-03,40.36,10100,United Kingdom,40.36,40.36,2023,7,3,Monday
C541529,ST57400,VINTAGE PAISLEY STATIONERY SET,11,2023-07-13,34.34,10128,United Kingdom,377.74,377.74,2023,7,13,Thursday
C540923,ST40512,CREAM CUPID HEARTS COAT HANGER,5,2023-04-09,54.2,10592,EIRE,271.0,271.0,2023,4,9,Sunday
C561276,ST56566,HOME BUILDING BLOCK WORD,6,2023-02-21,9.66,10888,United Kingdom,57.96,57.96,2023,2,21,Tuesday
C553861,ST42087,RED WOOLLY HOTTIE WHITE HEART,3,2023-12-10,29.77,10215,Germany,89.31,89.31,2023,12,10,Sunday
C561232,ST52504,HOME BUILDING BLOCK WORD,91,2023-08-25,12.74,10168,United Kingdom,1159.34,1159.34,2023,8,25,Friday
C551375,ST37653,CREAM CUPID HEARTS COAT HANGER,71,2023-01-29,15.35,10864,Portugal,1089.85,1089.85,2023,1,29,Sunday
C556987,ST94259,IVORY KNITTED MUG COZY,7,2023-10-18,48.76,10936,EIRE,341.32,341.32,2023,10,18,Wednesday
C553724,ST86622,HAND WARMER RED POLKA DOT,9,2023-03-15,30.04,10470,United Kingdom,270.36,270.36,2023,3,15,Wednesday
C562540,ST21915,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,3,2023-10-26,28.44,10439,United Kingdom,85.32000000000001,85.32000000000001,2023,10,26,Thursday
